ID,speaker,non-stop,pos,neg,lc_pos,lc_neg,pt_pos,pt_neg,sb_pos,sb_neg
1,LEHRER,302,14,3,47,39,28,11,28,12
2,OBAMA,393,16,10,53,38,33,17,34,17
3,LEHRER,5,0,0,0,0,0,0,0,0
4,ROMNEY,419,25,12,67,48,34,20,34,20
5,LEHRER,24,1,3,3,3,2,3,2,3
6,OBAMA,425,14,8,51,47,31,16,32,17
7,LEHRER,54,1,0,5,5,2,2,2,2
8,ROMNEY,643,20,10,94,70,40,30,43,31
9,OBAMA,234,9,6,35,26,16,15,16,16
10,LEHRER,3,1,0,2,0,1,0,1,0
11,OBAMA,163,8,3,34,18,15,7,15,7
12,LEHRER,26,4,0,5,4,4,2,4,2
13,ROMNEY,16,2,1,2,2,2,2,2,2
14,LEHRER,3,1,0,2,0,1,0,1,0
15,ROMNEY,379,16,4,66,58,23,19,23,19
16,LEHRER,19,1,1,1,1,1,1,1,1
17,OBAMA,418,14,4,56,51,32,27,32,27
18,LEHRER,3,1,0,2,0,1,0,1,0
19,ROMNEY,15,1,0,2,3,2,0,2,0
20,LEHRER,7,2,0,2,0,2,0,2,0
21,ROMNEY,8,0,0,0,1,0,1,0,1
22,LEHRER,17,1,2,5,2,4,2,4,2
23,ROMNEY,7,1,0,1,0,1,0,1,0
24,LEHRER,61,2,3,9,7,4,4,4,4
25,ROMNEY,286,11,2,42,53,15,26,15,28
26,OBAMA,294,16,5,54,34,22,14,22,14
27,ROMNEY,15,0,0,1,1,0,0,0,0
28,LEHRER,14,1,0,1,1,1,0,1,0
29,ROMNEY,265,8,4,41,34,11,9,11,9
30,LEHRER,89,1,1,6,10,1,3,1,3
31,ROMNEY,273,13,2,49,27,23,13,22,13
32,OBAMA,4,0,0,1,0,1,0,1,0
33,ROMNEY,192,7,1,23,12,12,2,12,2
34,LEHRER,5,0,0,0,0,0,0,0,0
35,OBAMA,475,11,6,70,41,24,16,25,16
36,LEHRER,6,0,1,0,1,0,1,0,1
37,OBAMA,14,1,0,4,1,2,0,2,0
38,LEHRER,6,0,0,1,0,0,0,0,0
39,OBAMA,2,0,1,0,1,0,1,0,1
40,LEHRER,11,1,0,1,0,1,0,1,0
41,ROMNEY,9,0,0,1,0,0,0,0,0
42,LEHRER,9,1,1,2,1,1,1,1,1
43,ROMNEY,41,0,1,3,3,0,1,0,1
44,OBAMA,26,1,0,1,1,1,0,1,0
45,ROMNEY,332,9,6,39,42,14,18,14,18
46,LEHRER,9,0,0,1,1,1,1,1,1
47,ROMNEY,2,0,0,0,0,0,0,0,0
48,LEHRER,3,0,0,0,0,0,0,0,0
49,OBAMA,8,1,0,1,0,1,0,1,0
50,LEHRER,20,0,0,2,2,0,0,1,0
51,OBAMA,22,0,0,1,3,0,0,0,0
52,ROMNEY,114,0,3,15,10,3,5,3,5
53,LEHRER,27,1,0,3,1,1,0,2,0
54,OBAMA,547,23,8,77,48,42,20,42,20
55,ROMNEY,28,0,0,1,1,0,0,0,0
56,LEHRER,4,0,0,1,1,1,0,1,0
57,ROMNEY,60,0,0,3,6,0,3,0,3
58,OBAMA,7,0,0,2,0,1,0,1,0
59,ROMNEY,221,9,4,27,21,14,10,14,10
60,LEHRER,3,0,0,0,0,0,0,0,0
61,ROMNEY,243,9,4,41,23,25,5,25,5
62,LEHRER,4,0,0,0,0,0,0,0,0
63,ROMNEY,24,3,0,6,4,4,0,4,0
64,LEHRER,18,0,0,1,4,0,0,0,0
65,OBAMA,2,0,0,0,0,0,0,0,0
66,LEHRER,36,3,0,6,1,3,0,3,0
67,OBAMA,427,30,5,59,43,43,12,44,15
68,LEHRER,19,1,0,2,2,1,0,1,0
69,ROMNEY,402,16,7,48,33,28,11,28,12
70,LEHRER,3,0,0,0,0,0,0,0,0
71,OBAMA,59,5,0,10,5,6,1,6,1
72,LEHRER,7,1,0,1,0,1,0,1,0
73,OBAMA,9,0,0,0,0,0,0,0,0
74,ROMNEY,6,0,0,0,0,0,0,0,0
75,OBAMA,3,0,0,1,0,1,0,1,0
76,ROMNEY,7,1,0,2,1,1,0,1,0
77,OBAMA,352,22,4,57,32,37,10,37,11
78,LEHRER,21,1,0,4,1,4,0,4,0
79,ROMNEY,26,1,0,2,1,2,0,2,0
80,LEHRER,6,0,0,0,0,0,0,0,0
81,ROMNEY,356,15,4,44,24,25,6,25,8
82,OBAMA,195,12,2,25,19,18,3,17,6
83,LEHRER,2,0,0,0,0,0,0,0,0
84,OBAMA,3,0,0,0,0,0,0,0,0
85,ROMNEY,15,0,0,1,1,0,0,0,0
86,OBAMA,9,0,0,1,0,0,0,0,0
87,LEHRER,13,0,0,0,0,0,0,0,0
88,OBAMA,4,0,1,0,1,0,1,0,1
89,LEHRER,11,0,0,1,0,0,0,0,0
90,ROMNEY,7,0,0,0,0,0,0,0,0
91,LEHRER,6,0,0,1,0,0,0,0,0
92,ROMNEY,24,1,0,3,2,2,0,2,1
93,LEHRER,3,1,0,2,0,1,0,1,0
94,ROMNEY,18,1,0,2,2,2,0,2,0
95,LEHRER,5,0,0,0,0,0,0,0,0
96,ROMNEY,21,2,0,7,2,4,0,4,1
97,LEHRER,23,1,0,5,0,1,0,2,0
98,ROMNEY,2,0,0,0,0,0,0,0,0
99,LEHRER,5,0,0,0,1,0,0,0,0
100,ROMNEY,2,0,0,0,0,0,0,0,0
101,OBAMA,2,0,0,0,0,0,0,0,0
102,LEHRER,74,2,0,10,3,4,0,4,0
103,ROMNEY,80,4,3,26,7,6,4,6,4
104,LEHRER,8,0,1,2,1,0,1,0,1
105,ROMNEY,8,0,0,0,1,0,0,0,0
106,LEHRER,3,0,0,1,0,1,0,1,0
107,ROMNEY,144,4,5,19,16,7,9,7,9
108,LEHRER,8,1,0,2,1,1,0,1,0
109,ROMNEY,49,4,2,13,7,4,3,4,3
110,LEHRER,6,1,0,2,0,1,0,1,0
111,ROMNEY,16,0,0,2,1,0,0,0,0
112,LEHRER,27,2,0,6,3,2,0,2,0
113,OBAMA,343,16,10,49,30,29,11,30,11
114,ROMNEY,265,18,9,47,33,24,13,26,14
115,LEHRER,74,3,0,17,1,8,1,10,1
116,ROMNEY,393,13,8,45,50,30,14,30,20
117,LEHRER,356,11,12,42,44,22,16,22,20
118,OBAMA,94,4,3,15,13,7,5,7,6
119,LEHRER,30,2,1,5,2,3,2,3,2
120,ROMNEY,388,8,3,49,32,24,9,24,9
121,OBAMA,570,18,5,76,52,55,9,55,13
122,LEHRER,3,0,0,0,0,0,0,0,0
123,OBAMA,9,1,0,4,0,3,0,3,0
124,LEHRER,11,0,0,0,0,0,0,0,0
125,ROMNEY,2,1,0,1,0,1,0,1,0
126,LEHRER,10,0,0,1,0,0,0,0,0
127,ROMNEY,383,25,10,73,38,47,13,48,18
128,OBAMA,446,19,6,49,31,31,11,31,12
129,LEHRER,7,0,0,1,0,1,0,1,0
130,ROMNEY,9,0,0,2,0,0,0,0,0
131,LEHRER,3,0,0,0,0,0,0,0,0
132,ROMNEY,350,4,6,49,37,26,12,26,12
133,LEHRER,80,1,0,3,6,3,2,3,2
134,OBAMA,8,1,0,3,0,2,0,2,0
135,LEHRER,5,0,0,0,0,0,0,0,0
136,OBAMA,418,30,4,74,34,46,10,46,10
137,LEHRER,11,0,0,0,1,0,0,0,0
138,ROMNEY,394,28,6,74,40,51,11,51,11
139,LEHRER,3,1,0,2,0,1,0,1,0
140,ROMNEY,19,0,0,3,1,1,0,1,0
141,LEHRER,41,2,0,9,2,5,0,5,0
142,ROMNEY,184,7,2,23,15,14,2,14,2
143,LEHRER,24,1,0,4,1,3,0,3,0
144,OBAMA,43,5,0,10,2,7,0,7,0
145,LEHRER,24,0,0,3,1,1,0,1,0
146,OBAMA,182,6,1,25,10,12,3,12,3
147,LEHRER,7,0,0,1,0,0,0,0,0
148,OBAMA,287,13,2,35,17,24,3,24,3
149,LEHRER,8,0,0,1,1,1,0,1,0
150,ROMNEY,377,19,1,62,28,31,9,32,9
151,LEHRER,46,1,3,7,6,3,4,3,4
152,OBAMA,7,1,0,1,0,1,0,1,0
153,LEHRER,107,2,2,11,16,6,5,6,5
154,ROMNEY,71,1,0,12,8,6,2,6,2
155,LEHRER,8,0,0,0,0,0,0,0,0
156,ROMNEY,142,8,2,22,24,12,6,11,6
157,LEHRER,3,1,0,2,0,1,0,1,0
158,ROMNEY,52,2,2,11,6,6,2,6,2
159,LEHRER,3,0,0,0,0,0,0,0,0
160,OBAMA,341,14,9,51,34,24,17,24,18
161,LEHRER,3,1,0,2,0,1,0,1,0
162,OBAMA,68,2,1,7,8,3,1,3,1
163,LEHRER,33,0,0,6,3,2,2,2,2
164,OBAMA,421,30,6,68,40,44,14,45,14
165,LEHRER,7,0,0,1,1,1,1,1,1
166,ROMNEY,449,18,6,67,45,41,14,41,15
